name,class,nose,left_ear,upper_body,lower_body,left_eye,right_ear,left_hand,right_hand,body,head,left_foot,mouth,left_arm,right_eye,right_arm,right_foot
A-L4-o3,ASD,0.0,0.0,24.18721402102378,17.338413419281263,0.0,0.0,0.0,0.0,0.0,46.24310166296553,0.0,0.0,0.0,0.0,0.0,0.0
A-2-s2,ASD,0.0,0.0,22.75671397324019,16.454862654903142,0.0,0.0,0.0,0.0,0.0,39.09706316389919,0.0,0.0,0.0,0.0,0.0,0.0
A-4-o1,ASD,2.120856011855128,1.592584184726379,23.187527561514376,12.930229839310165,1.2427983168370844,1.3432088075082467,0.8669872927583602,1.331687661939013,42.60220590266736,40.03115722376555,0.4349743398718727,1.6151134244127512,0.0,1.212111938643576,0.0,0.26219373772934274
A-L2-o2,ASD,0.0,0.0,38.7594238318682,10.809886181890834,0.0,0.0,0.0,0.0,0.0,8.993098588295735,0.0,0.0,0.0,0.0,0.0,0.0
A-L10-o3,ASD,0.16470232064910975,0.0,43.40015607521309,16.283277708897916,0.7397879235822516,0.0,2.1771588010804197,2.6957440121210787,40.350181344941134,15.754634794674077,0.5768012521065702,0.7065043296177439,6.066192347407526,0.9449795647242677,4.826121124853605,1.3114422281685365
A-L10-o1,ASD,0.0,0.0,20.370630345040496,30.93821785219763,0.0,0.0,0.0,0.0,0.0,5.9999232009830274,0.0,0.0,0.0,0.0,0.0,0.0
A-L9-o1,ASD,0.0,0.0,31.740392553809937,9.06811439429154,0.0,0.0,0.0,0.0,0.0,28.42381960213833,0.0,0.0,0.0,0.0,0.0,0.0
A-W6-o3,ASD,0.0,0.0,44.809022326164154,14.76388101252771,0.0,0.0,0.0,0.0,0.0,33.02057019126669,0.0,0.0,0.0,0.0,0.0,0.0
A-P8-o1,ASD,1.6649620011112651,1.9256862665131012,27.62189927059428,6.033989986041725,3.1143174121505672,0.9662369406928685,1.7607871522543594,1.8713853475320144,24.096032797857276,54.25699912014624,0.15471769194978782,1.3205903641907697,0.0,5.476008116364748,0.0,0.0958251511430944
A-L2-o1,ASD,0.0,0.0,34.034693470348785,21.02261146592578,0.9020896711124877,0.0,0.22292442634329399,0.22929369566738833,62.8234555905529,10.371852257235357,1.9094398984231609,0.461939638347457,0.0,1.029475057594368,0.0,1.174292128542192
